category,customer_tier,count,rate
beauty,bronze,7,0.008631319358816275
beauty,gold,8,0.009864364981504316
beauty,platinum,5,0.006165228113440197
beauty,silver,5,0.006165228113440197
books,bronze,10,0.012330456226880395
books,gold,2,0.002466091245376079
books,platinum,13,0.016029593094944512
books,silver,6,0.007398273736128237
clothing,bronze,5,0.006165228113440197
clothing,gold,6,0.007398273736128237
clothing,platinum,5,0.006165228113440197
clothing,silver,10,0.012330456226880395
electronics,bronze,14,0.01726263871763255
electronics,gold,8,0.009864364981504316
electronics,platinum,10,0.012330456226880395
electronics,silver,4,0.004932182490752158
food_drink,bronze,8,0.009864364981504316
food_drink,gold,6,0.007398273736128237
food_drink,platinum,11,0.013563501849568433
food_drink,silver,8,0.009864364981504316
home_garden,bronze,14,0.01726263871763255
home_garden,gold,5,0.006165228113440197
home_garden,platinum,11,0.013563501849568433
home_garden,silver,11,0.013563501849568433
sports,bronze,8,0.009864364981504316
sports,gold,5,0.006165228113440197
sports,platinum,7,0.008631319358816275
sports,silver,9,0.011097410604192354
toys,bronze,12,0.014796547472256474
toys,gold,4,0.004932182490752158
toys,platinum,6,0.007398273736128237
toys,silver,8,0.009864364981504316
